momento,posicao
datetime,coord
T
01/14/2018 00:00:00,0.909297427;-0.416146837;2.000
01/14/2018 00:00:01,0.141120008;-0.989992497;2.000
01/14/2018 00:00:02,-0.756802495;-0.653643621;2.000
01/14/2018 00:00:03,-0.958924275;0.283662185;2.000
01/14/2018 00:00:04,-0.279415498;0.960170287;2.000
01/14/2018 00:00:05,0.656986599;0.753902254;2.000
01/14/2018 00:00:06,0.989358247;-0.145500034;2.000
01/14/2018 00:00:07,0.412118485;-0.911130262;2.000
01/14/2018 00:00:08,-0.544021111;-0.839071529;2.000
01/14/2018 00:00:09,-0.999990207;0.004425698;2.000
01/14/2018 00:00:10,-0.536572918;0.843853959;2.000
01/14/2018 00:00:11,0.420167037;0.907446781;2.000
01/14/2018 00:00:12,0.990607356;0.136737218;2.000
01/14/2018 00:00:13,0.65028784;-0.759687913;2.000
01/14/2018 00:00:14,-0.287903317;-0.95765948;2.000
01/14/2018 00:00:15,-0.961397492;-0.275163338;2.000
01/14/2018 00:00:16,-0.750987247;0.660316708;2.000
01/14/2018 00:00:17,0.14987721;0.988704618;2.000
01/14/2018 00:00:18,0.912945251;0.408082062;2.000
01/14/2018 00:00:19,0.836655639;-0.54772926;2.000
01/14/2018 00:00:20,-0.008851309;-0.999960826;2.000
01/14/2018 00:00:21,-0.846220404;-0.53283302;2.000
01/14/2018 00:00:22,-0.905578362;0.424179007;2.000
01/14/2018 00:00:23,-0.13235175;0.991202812;2.000
01/14/2018 00:00:24,0.76255845;0.646919322;2.000
01/14/2018 00:00:25,0.956375928;-0.292138809;2.000
01/14/2018 00:00:26,0.270905788;-0.962605866;2.000
01/14/2018 00:00:27,-0.663633884;-0.74805753;2.000
01/14/2018 00:00:28,-0.988031624;0.15425145;2.000
01/14/2018 00:00:29,-0.404037645;0.914742358;2.000
01/14/2018 00:00:30,0.551426681;0.834223361;2.000
01/14/2018 00:00:31,0.99991186;-0.013276747;2.000
01/14/2018 00:00:32,0.529082686;-0.848570275;2.000
01/14/2018 00:00:33,-0.428182669;-0.903692205;2.000
01/14/2018 00:00:34,-0.991778853;-0.12796369;2.000
01/14/2018 00:00:35,-0.643538133;0.765414052;2.000
01/14/2018 00:00:36,0.296368579;0.955073644;2.000
01/14/2018 00:00:37,0.963795386;0.266642932;2.000
01/14/2018 00:00:38,0.74511316;-0.666938062;2.000
01/14/2018 00:00:39,-0.158622669;-0.987339278;2.000
01/14/2018 00:00:40,-0.916521548;-0.399985315;2.000
01/14/2018 00:00:41,-0.831774743;0.555113302;2.000
01/14/2018 00:00:42,0.017701925;0.999843309;2.000
01/14/2018 00:00:43,0.850903525;0.525321989;2.000
01/14/2018 00:00:44,0.901788348;-0.432177945;2.000
01/14/2018 00:00:45,0.123573123;-0.992335469;2.000
01/14/2018 00:00:46,-0.768254661;-0.640144339;2.000
01/14/2018 00:00:47,-0.953752653;0.300592544;2.000
01/14/2018 00:00:48,-0.262374854;0.964966028;2.000
01/14/2018 00:00:49,0.670229176;0.742154197;2.000
01/14/2018 00:00:50,0.986627592;-0.162990781;2.000
01/14/2018 00:00:51,0.39592515;-0.918282786;2.000
01/14/2018 00:00:52,-0.558789049;-0.829309833;2.000
01/14/2018 00:00:53,-0.999755173;0.022126756;2.000
01/14/2018 00:00:54,-0.521551002;0.853220108;2.000
01/14/2018 00:00:55,0.436164755;0.899866827;2.000
01/14/2018 00:00:56,0.992872648;0.119180135;2.000
01/14/2018 00:00:57,0.636738007;-0.771080223;2.000
01/14/2018 00:00:58,-0.304810621;-0.95241298;2.000
01/14/2018 00:00:59,-0.96611777;-0.258101636;2.000
01/14/2018 00:01:00,-0.739180697;0.673507162;2.000
01/14/2018 00:01:01,0.1673557;0.985896582;2.000
01/14/2018 00:01:02,0.920026038;0.39185723;2.000
01/14/2018 00:01:03,0.826828679;-0.562453851;2.000
01/14/2018 00:01:04,-0.026551154;-0.999647456;2.000
01/14/2018 00:01:05,-0.855519979;-0.5177698;2.000
01/14/2018 00:01:06,-0.897927681;0.440143022;2.000
01/14/2018 00:01:07,-0.114784814;0.99339038;2.000
01/14/2018 00:01:08,0.773890682;0.633319203;2.000
01/14/2018 00:01:09,0.951054653;-0.309022728;2.000
01/14/2018 00:01:10,0.253823363;-0.967250588;2.000
01/14/2018 00:01:11,-0.676771957;-0.736192718;2.000
01/14/2018 00:01:12,-0.98514626;0.171717342;2.000
01/14/2018 00:01:13,-0.387781635;0.92175127;2.000
01/14/2018 00:01:14,0.566107637;0.824331331;2.000
01/14/2018 00:01:15,0.999520159;-0.030975032;2.000
01/14/2018 00:01:16,0.513978456;-0.857803093;2.000
01/14/2018 00:01:17,-0.444112669;-0.895970947;2.000
01/14/2018 00:01:18,-0.993888654;-0.110387244;2.000
01/14/2018 00:01:19,-0.629887994;0.776685982;2.000
01/14/2018 00:01:20,0.313228782;0.949677698;2.000
01/14/2018 00:01:21,0.968364461;0.249540118;2.000
01/14/2018 00:01:22,0.73319032;-0.680023496;2.000
01/14/2018 00:01:23,-0.17607562;-0.984376643;2.000
01/14/2018 00:01:24,-0.923458447;-0.383698445;2.000
01/14/2018 00:01:25,-0.821817837;0.569750334;2.000
01/14/2018 00:01:26,0.035398303;0.999373284;2.000
01/14/2018 00:01:27,0.860069406;0.510177045;2.000
01/14/2018 00:01:28,0.893996664;-0.448073616;2.000
01/14/2018 00:01:29,0.105987512;-0.994367461;2.000
01/14/2018 00:01:30,-0.77946607;-0.626444448;2.000
01/14/2018 00:01:31,-0.948282141;0.317428702;2.000
01/14/2018 00:01:32,-0.245251985;0.969459367;2.000
01/14/2018 00:01:33,0.683261715;0.730173561;2.000
01/14/2018 00:01:34,0.983587745;-0.180430449;2.000
01/14/2018 00:01:35,0.379607739;-0.925147537;2.000
01/14/2018 00:01:36,-0.573381872;-0.819288245;2.000
01/14/2018 00:01:37,-0.999206834;0.03982088;2.000
01/14/2018 00:01:38,-0.506365641;0.862318872;2.000
01/14/2018 00:01:39,0.452025787;0.89200487;2.000
01/14/2018 00:01:40,0.994826791;0.101585704;2.000
01/14/2018 00:01:41,0.622988631;-0.78223089;2.000
01/14/2018 00:01:42,-0.321622403;-0.946868011;2.000
01/14/2018 00:01:43,-0.970535284;-0.240959049;2.000
01/14/2018 00:01:44,-0.7271425;0.686486551;2.000
01/14/2018 00:01:45,0.184781745;0.982779582;2.000
01/14/2018 00:01:46,0.926818505;0.375509598;2.000
01/14/2018 00:01:47,0.816742607;-0.577002179;2.000
01/14/2018 00:01:48,-0.044242678;-0.999020813;2.000
01/14/2018 00:01:49,-0.864551449;-0.502544319;2.000
01/14/2018 00:01:50,-0.889995604;0.455969104;2.000
01/14/2018 00:01:51,-0.097181906;0.995266636;2.000
01/14/2018 00:01:52,0.784980389;0.619520613;2.000
01/14/2018 00:01:53,0.945435334;-0.325809805;2.000
01/14/2018 00:01:54,0.236661393;-0.971592191;2.000
01/14/2018 00:01:55,-0.689697941;-0.724097197;2.000
01/14/2018 00:01:56,-0.981952169;0.189129421;2.000
01/14/2018 00:01:57,-0.371404101;0.928471321;2.000
01/14/2018 00:01:58,0.580611184;0.814180971;2.000
01/14/2018 00:01:59,0.998815225;-0.048663609;2.000
01/14/2018 00:02:00,0.498713154;-0.866767091;2.000
01/14/2018 00:02:01,-0.459903491;-0.887968907;2.000
01/14/2018 00:02:02,-0.995686987;-0.092776205;2.000
01/14/2018 00:02:03,-0.616040459;0.787714512;2.000
01/14/2018 00:02:04,0.329990826;0.943984139;2.000
01/14/2018 00:02:05,0.972630067;0.232359102;2.000
01/14/2018 00:02:06,0.721037711;-0.692895822;2.000
01/14/2018 00:02:07,-0.193473392;-0.981105523;2.000
01/14/2018 00:02:08,-0.93010595;-0.36729133;2.000
01/14/2018 00:02:09,-0.811603387;0.584208817;2.000
01/14/2018 00:02:10,0.053083587;0.998590072;2.000
01/14/2018 00:02:11,0.868965756;0.49487222;2.000
01/14/2018 00:02:12,0.885924816;-0.463828869;2.000
01/14/2018 00:02:13,0.088368686;-0.996087835;2.000
01/14/2018 00:02:14,-0.790433207;-0.612548239;2.000
01/14/2018 00:02:15,-0.942514455;0.334165383;2.000
01/14/2018 00:02:16,-0.22805226;0.973648893;2.000
01/14/2018 00:02:17,0.696080131;0.717964101;2.000
01/14/2018 00:02:18,0.980239659;-0.197813574;2.000
01/14/2018 00:02:19,0.363171365;-0.931722362;2.000
01/14/2018 00:02:20,-0.587795007;-0.809009907;2.000
01/14/2018 00:02:21,-0.998345361;0.057502525;2.000
01/14/2018 00:02:22,-0.491021594;0.871147401;2.000
01/14/2018 00:02:23,0.467745162;0.883863374;2.000
01/14/2018 00:02:24,0.996469173;0.083959437;2.000
01/14/2018 00:02:25,0.609044022;-0.793136419;2.000
01/14/2018 00:02:26,-0.338333394;-0.941026309;2.000
01/14/2018 00:02:27,-0.974648648;-0.22374095;2.000
01/14/2018 00:02:28,-0.71487643;0.699250806;2.000
01/14/2018 00:02:29,0.202149881;0.979354596;2.000
01/14/2018 00:02:30,0.933320524;0.359044287;2.000
01/14/2018 00:02:31,0.806400581;-0.591369684;2.000
01/14/2018 00:02:32,-0.061920337;-0.998081095;2.000
01/14/2018 00:02:33,-0.873311983;-0.48716135;2.000
01/14/2018 00:02:34,-0.881784619;0.471652294;2.000
01/14/2018 00:02:35,-0.079548543;0.996830993;2.000
01/14/2018 00:02:36,0.795824097;0.605527875;2.000
01/14/2018 00:02:37,0.939519732;-0.342494779;2.000
01/14/2018 00:02:38,0.219425258;-0.975629313;2.000
01/14/2018 00:02:39,-0.702407786;-0.711774756;2.000
01/14/2018 00:02:40,-0.978450351;0.206482229;2.000
01/14/2018 00:02:41,-0.354910176;0.934900405;2.000
01/14/2018 00:02:42,0.594932778;0.80377546;2.000
01/14/2018 00:02:43,0.997797279;-0.066336936;2.000
01/14/2018 00:02:44,0.483291564;-0.875459459;2.000
01/14/2018 00:02:45,-0.475550187;-0.879688592;2.000
01/14/2018 00:02:46,-0.997173289;-0.075136091;2.000
01/14/2018 00:02:47,-0.601999868;0.798496186;2.000
01/14/2018 00:02:48,0.346649455;0.937994752;2.000
01/14/2018 00:02:49,0.976590868;0.215105269;2.000
01/14/2018 00:02:50,0.70865914;-0.705551007;2.000
01/14/2018 00:02:51,-0.210810533;-0.97752694;2.000
01/14/2018 00:02:52,-0.936461974;-0.350769113;2.000
01/14/2018 00:02:53,-0.801134595;0.598484219;2.000
01/14/2018 00:02:54,0.070752236;0.99749392;2.000
01/14/2018 00:02:55,0.877589788;0.479412311;2.000
01/14/2018 00:02:56,0.877575336;-0.479438766;2.000
01/14/2018 00:02:57,0.070722167;-0.997496053;2.000
01/14/2018 00:02:58,-0.801152636;-0.598460069;2.000
01/14/2018 00:02:59,-0.9364514;0.350797342;2.000
01/14/2018 00:03:00,-0.210781066;0.977533295;2.000
01/14/2018 00:03:01,0.708680408;0.705529644;2.000
01/14/2018 00:03:02,0.976584383;-0.215134707;2.000
01/14/2018 00:03:03,0.34662118;-0.938005201;2.000
01/14/2018 00:03:04,-0.602023938;-0.798478039;2.000
01/14/2018 00:03:05,-0.997171023;0.07516615;2.000
01/14/2018 00:03:06,-0.475523669;0.879702927;2.000
