momento,posicao
datetime,coord
T
09/18/2018 00:00,0;51;51
09/18/2018 00:01,1;51;51
09/18/2018 00:02,2;51;51
09/18/2018 00:03,2;51;0
09/18/2018 00:04,3;51;51
09/18/2018 00:05,3;51;0
09/18/2018 00:06,4;51;51
09/18/2018 00:07,4;51;0
09/18/2018 00:08,5;51;51
09/18/2018 00:09,5;51;0
09/18/2018 00:10,6;51;51
09/18/2018 00:11,6;51;0
09/18/2018 00:12,7;51;51
09/18/2018 00:13,7;51;0
09/18/2018 00:14,8;51;51
09/18/2018 00:15,8;51;0
09/18/2018 00:16,9;51;51
09/18/2018 00:17,9;51;0
09/18/2018 00:18,10;51;51
09/18/2018 00:19,10;51;0
09/18/2018 00:20,11;50;72.1248916810278
09/18/2018 00:21,11;50;0
09/18/2018 00:22,12;50;51
09/18/2018 00:23,12;50;0
09/18/2018 00:24,13;50;51
09/18/2018 00:25,13;50;0
09/18/2018 00:26,14;50;51
09/18/2018 00:27,14;50;0
09/18/2018 00:28,15;50;51
09/18/2018 00:29,15;49;51
09/18/2018 00:30,16;49;51
09/18/2018 00:31,16;49;0
09/18/2018 00:32,17;49;51
09/18/2018 00:33,17;49;0
09/18/2018 00:34,18;49;51
09/18/2018 00:35,18;48;51
09/18/2018 00:36,18;48;0
09/18/2018 00:37,19;48;51
09/18/2018 00:38,19;48;0
09/18/2018 00:39,20;48;51
09/18/2018 00:40,20;47;51
09/18/2018 00:41,21;47;51
09/18/2018 00:42,21;47;0
09/18/2018 00:43,22;47;51
09/18/2018 00:44,22;47;0
09/18/2018 00:45,23;46;72.1248916810278
09/18/2018 00:46,23;46;0
09/18/2018 00:47,24;46;51
09/18/2018 00:48,24;46;0
09/18/2018 00:49,25;45;72.1248916810278
09/18/2018 00:50,25;45;0
09/18/2018 00:51,25;45;0
09/18/2018 00:52,26;45;51
09/18/2018 00:53,26;45;0
09/18/2018 00:54,27;44;72.1248916810278
09/18/2018 00:55,27;44;0
09/18/2018 00:56,28;44;51
09/18/2018 00:57,28;43;51
09/18/2018 00:58,28;43;0
09/18/2018 00:59,29;43;51
09/18/2018 01:00,29;43;0
09/18/2018 01:01,30;42;72.1248916810278
09/18/2018 01:02,30;42;0
09/18/2018 01:03,31;42;51
09/18/2018 01:04,31;41;51
09/18/2018 01:05,31;41;0
09/18/2018 01:06,32;41;51
09/18/2018 01:07,32;40;51
09/18/2018 01:08,33;40;51
09/18/2018 01:09,33;40;0
09/18/2018 01:10,33;40;0
09/18/2018 01:11,34;39;72.1248916810278
09/18/2018 01:12,34;39;0
09/18/2018 01:13,35;39;51
09/18/2018 01:14,35;38;51
09/18/2018 01:15,35;38;0
09/18/2018 01:16,36;37;72.1248916810278
09/18/2018 01:17,36;37;0
09/18/2018 01:18,36;37;0
09/18/2018 01:19,37;36;72.1248916810278
09/18/2018 01:20,37;36;0
09/18/2018 01:21,37;36;0
09/18/2018 01:22,38;35;72.1248916810278
09/18/2018 01:23,38;35;0
09/18/2018 01:24,38;35;0
09/18/2018 01:25,39;34;72.1248916810278
09/18/2018 01:26,39;34;0
09/18/2018 01:27,39;33;51
09/18/2018 01:28,40;33;51
09/18/2018 01:29,40;33;0
09/18/2018 01:30,40;32;51
09/18/2018 01:31,41;32;51
09/18/2018 01:32,41;31;51
09/18/2018 01:33,41;31;0
09/18/2018 01:34,42;31;51
09/18/2018 01:35,42;30;51
09/18/2018 01:36,42;30;0
09/18/2018 01:37,43;29;72.1248916810278
09/18/2018 01:38,43;29;0
09/18/2018 01:39,43;28;51
09/18/2018 01:40,43;28;0
09/18/2018 01:41,44;28;51
09/18/2018 01:42,44;27;51
09/18/2018 01:43,44;27;0
09/18/2018 01:44,44;26;51
09/18/2018 01:45,45;26;51
09/18/2018 01:46,45;25;51
09/18/2018 01:47,45;25;0
09/18/2018 01:48,45;25;0
09/18/2018 01:49,46;24;72.1248916810278
09/18/2018 01:50,46;24;0
09/18/2018 01:51,46;23;51
09/18/2018 01:52,46;23;0
09/18/2018 01:53,47;22;72.1248916810278
09/18/2018 01:54,47;22;0
09/18/2018 01:55,47;21;51
09/18/2018 01:56,47;21;0
09/18/2018 01:57,47;20;51
09/18/2018 01:58,48;20;51
09/18/2018 01:59,48;19;51
09/18/2018 02:00,48;19;0
09/18/2018 02:01,48;19;0
09/18/2018 02:02,48;18;51
09/18/2018 02:03,49;18;51
09/18/2018 02:04,49;17;51
09/18/2018 02:05,49;17;0
09/18/2018 02:06,49;16;51
09/18/2018 02:07,49;16;0
09/18/2018 02:08,49;15;51
09/18/2018 02:09,50;15;51
09/18/2018 02:10,50;14;51
09/18/2018 02:11,50;14;0
09/18/2018 02:12,50;13;51
09/18/2018 02:13,50;13;0
09/18/2018 02:14,50;12;51
09/18/2018 02:15,50;12;0
09/18/2018 02:16,50;11;51
09/18/2018 02:17,50;11;0
09/18/2018 02:18,51;10;72.1248916810278
09/18/2018 02:19,51;10;0
09/18/2018 02:20,51;9;51
09/18/2018 02:21,51;9;0
09/18/2018 02:22,51;8;51
09/18/2018 02:23,51;8;0
09/18/2018 02:24,51;7;51
09/18/2018 02:25,51;7;0
09/18/2018 02:26,51;6;51
09/18/2018 02:27,51;6;0
09/18/2018 02:28,51;5;51
09/18/2018 02:29,51;5;0
09/18/2018 02:30,51;4;51
09/18/2018 02:31,51;4;0
09/18/2018 02:32,51;3;51
09/18/2018 02:33,51;3;0
09/18/2018 02:34,51;2;51
09/18/2018 02:35,51;2;0
09/18/2018 02:36,51;1;51
09/18/2018 02:37,51;1;0
09/18/2018 02:38,51;-1;102
09/18/2018 02:39,51;-1;0
09/18/2018 02:40,51;-2;51
09/18/2018 02:41,51;-2;0
09/18/2018 02:42,51;-3;51
09/18/2018 02:43,51;-4;51
09/18/2018 02:44,51;-4;0
09/18/2018 02:45,51;-5;51
09/18/2018 02:46,51;-5;0
09/18/2018 02:47,51;-6;51
09/18/2018 02:48,51;-6;0
09/18/2018 02:49,51;-7;51
09/18/2018 02:50,51;-7;0
09/18/2018 02:51,51;-8;51
09/18/2018 02:52,51;-8;0
09/18/2018 02:53,51;-9;51
09/18/2018 02:54,51;-9;0
09/18/2018 02:55,51;-10;51
09/18/2018 02:56,51;-10;0
09/18/2018 02:57,50;-11;72.1248916810278
09/18/2018 02:58,50;-11;0
09/18/2018 02:59,50;-12;51
09/18/2018 03:00,50;-12;0
09/18/2018 03:01,50;-13;51
09/18/2018 03:02,50;-13;0
09/18/2018 03:03,50;-14;51
09/18/2018 03:04,50;-14;0
09/18/2018 03:05,50;-15;51
09/18/2018 03:06,49;-15;51
09/18/2018 03:07,49;-16;51
09/18/2018 03:08,49;-16;0
09/18/2018 03:09,49;-17;51
09/18/2018 03:10,49;-17;0
09/18/2018 03:11,49;-17;0
09/18/2018 03:12,48;-18;72.1248916810278
09/18/2018 03:13,48;-18;0
09/18/2018 03:14,48;-19;51
09/18/2018 03:15,48;-19;0
09/18/2018 03:16,48;-20;51
09/18/2018 03:17,47;-20;51
09/18/2018 03:18,47;-21;51
09/18/2018 03:19,47;-21;0
09/18/2018 03:20,47;-22;51
09/18/2018 03:21,47;-22;0
09/18/2018 03:22,46;-23;72.1248916810278
09/18/2018 03:23,46;-23;0
09/18/2018 03:24,46;-24;51
09/18/2018 03:25,46;-24;0
09/18/2018 03:26,46;-24;0
09/18/2018 03:27,45;-25;72.1248916810278
09/18/2018 03:28,45;-25;0
09/18/2018 03:29,45;-26;51
09/18/2018 03:30,45;-26;0
09/18/2018 03:31,44;-27;72.1248916810278
09/18/2018 03:32,44;-27;0
09/18/2018 03:33,44;-28;51
09/18/2018 03:34,43;-28;51
09/18/2018 03:35,43;-28;0
09/18/2018 03:36,43;-29;51
09/18/2018 03:37,43;-29;0
09/18/2018 03:38,42;-30;72.1248916810278
09/18/2018 03:39,42;-30;0
09/18/2018 03:40,42;-31;51
09/18/2018 03:41,41;-31;51
09/18/2018 03:42,41;-31;0
09/18/2018 03:43,41;-32;51
09/18/2018 03:44,41;-32;0
09/18/2018 03:45,40;-33;72.1248916810278
09/18/2018 03:46,40;-33;0
09/18/2018 03:47,40;-33;0
09/18/2018 03:48,39;-34;72.1248916810278
09/18/2018 03:49,39;-34;0
09/18/2018 03:50,39;-34;0
09/18/2018 03:51,38;-35;72.1248916810278
09/18/2018 03:52,38;-35;0
09/18/2018 03:53,37;-36;72.1248916810278
09/18/2018 03:54,37;-36;0
09/18/2018 03:55,37;-36;0
09/18/2018 03:56,36;-37;72.1248916810278
09/18/2018 03:57,36;-37;0
09/18/2018 03:58,36;-37;0
09/18/2018 03:59,35;-38;72.1248916810278
09/18/2018 04:00,35;-38;0
09/18/2018 04:01,35;-38;0
09/18/2018 04:02,34;-39;72.1248916810278
09/18/2018 04:03,34;-39;0
09/18/2018 04:04,33;-39;51
09/18/2018 04:05,33;-40;51
09/18/2018 04:06,33;-40;0
09/18/2018 04:07,32;-40;51
09/18/2018 04:08,32;-41;51
09/18/2018 04:09,31;-41;51
09/18/2018 04:10,31;-41;0
09/18/2018 04:11,31;-42;51
09/18/2018 04:12,30;-42;51
09/18/2018 04:13,30;-42;0
09/18/2018 04:14,29;-43;72.1248916810278
09/18/2018 04:15,29;-43;0
09/18/2018 04:16,29;-43;0
09/18/2018 04:17,28;-43;51
09/18/2018 04:18,28;-44;51
09/18/2018 04:19,27;-44;51
